MdALE errors symbolic regression,MdALE errors Eleveld
0.39898783,0.6613477
0.09666047,0.33286348
0.5453211,0.8584667
0.21023297,0.40047976
0.2218337,0.565302
0.4626636,0.77086836
0.12936212,0.33785316
0.114396,0.32662928
0.10339891,0.4016613
0.17300324,0.37020418
0.21900502,0.5800149
0.15072335,0.32205904
0.13297892,0.4437369
0.27779415,0.48078126
0.10717391,0.2414209
0.42811182,0.14440504
0.187161,0.14228542
0.20869121,0.5132655
0.24346092,0.5321284
0.07275701,0.32053137
0.15770252,0.5037917
0.26493597,0.5405645
0.088780425,0.40056938
0.3054309,0.6773616
0.17914912,0.37051648
0.10223052,0.22059894
0.16901354,0.36987585
0.20714438,0.35301793
0.18821529,0.27802676
0.09189303,0.46147567
0.12773213,0.38881624
0.10562237,0.14893419
0.170175,0.451888
0.45440128,0.5732518
0.5636738,0.87534994
0.1641044,0.47608802
0.1111951,0.3901622
0.42306697,0.66276765
0.2781195,0.5739549
0.3161479,0.37998915
0.12544425,0.2960976
0.17747355,0.531655
0.11772885,0.14876892
0.52177393,0.5915029
0.22412278,0.53007483
0.27377853,0.10126655
0.67672056,0.93160635
0.14771862,0.1487609
0.2634872,0.49799833
0.12046037,0.22650285
0.4139256,0.5957483
0.18628874,0.05671185
0.4265461,0.71004397
0.23871937,0.46483174
0.12768197,0.37344566
0.024442043,0.10713933
0.0898433,0.2043858
0.3432496,0.60231453
0.3004357,0.65040296
0.14017928,0.31804496
0.45909172,0.75380886
0.22156712,0.45796117
0.07348329,0.31011316
0.03385551,0.2369487
0.40150517,0.59935516
0.13601735,0.37512645
0.10923656,0.32277527
0.13377476,0.46118143
0.90333235,1.0378039
0.10886019,0.27363607
0.0932805,0.32772025
0.31671542,0.54476786
0.2591951,0.4400411
0.3412961,0.29919627
0.27485976,0.56416225
0.27887115,0.6006094
0.06293408,0.2860457
0.105908126,0.25613996
0.31989968,0.51584226
0.044358287,0.15928645
0.4477771,0.7495551
0.200503,0.2444185
0.3846074,0.29165277
0.31193656,0.3799324
0.20337608,0.270976
0.14021386,0.07912336
0.12431565,0.05734557
0.1328589,0.12680884
0.21907765,0.24965978
0.2798377,0.43835074
0.6460265,0.5697168
0.22067772,0.20338191
0.23329595,0.19909765
0.20029144,0.08522955
0.19273137,0.38691646
0.1414124,0.17924196
0.07444392,0.2682038
0.53349143,0.6524192
0.40508887,0.4604745
0.150426,0.3368698
0.41376275,0.3018462
0.22446257,0.13575265
0.13589384,0.113998696
0.30351657,0.32230568
0.1975281,0.15753734
0.121673234,0.15970938
0.13551496,0.058165383
0.09584379,0.08738375
0.37746388,0.42026332
0.24818781,0.18884116
0.11854104,0.112736516
0.3000909,0.22603032
0.6820906,0.8153036
0.2122335,0.25400862
0.62503713,0.6237848
0.44313556,0.49632227
0.20618519,0.19979884
0.22901976,0.30515033
0.16231263,0.26090875
0.7966742,0.7846788
0.6520094,0.710867
0.48169655,0.5466069
0.36882192,0.45390385
0.59538287,0.63733774
0.22210948,0.35951403
0.32589114,0.34464088
0.27953148,0.24472009
0.22859588,0.18045443
0.4645414,0.41334212
0.0864924,0.086982094
0.3883772,0.3862539
0.095796615,0.065209
0.43693557,0.3749947
0.18918233,0.16973156
0.056614935,0.04759638
0.50255764,0.4440738
0.15552709,0.15932915
0.6567344,0.60025334
0.6354222,0.5557245
0.19101351,0.20669347
0.22058578,0.2748198
0.1250326,0.111793876
0.19740811,0.14707895
0.07055341,0.09916881
0.3526765,0.24046907
0.18138337,0.18871172
0.14458016,0.098736495
0.11714344,0.08109999
0.2200962,0.14626944
0.46602434,0.6036641
0.14852592,0.12598206
0.3510185,0.2684285
0.2827229,0.32989338
0.77660215,0.7505068
0.17879823,0.18904471
0.6443171,0.5797925
0.3837716,0.38943535
0.5946207,0.6930451
0.66196394,0.5705685
0.38651517,0.3916329
0.2877374,0.49007758
0.52905875,0.62205225
0.50276935,0.40277147
0.21171965,0.17420065
0.13951826,0.21758457
0.17970909,0.1737101
0.19360395,0.1270957
0.25563735,0.1146149
0.21544224,0.24522772
0.31418404,0.24366215
0.55866396,0.5942089
0.4081456,0.30922723
0.5679209,0.47846264
0.2329324,0.32077938
0.67011714,0.7597064
0.36886787,0.3802104
0.5934743,0.53832406
0.45577213,0.48847982
0.2305875,0.38308984
0.40460873,0.23457697
0.22451642,0.35488877
0.153447,0.1370908
0.54632175,0.45760286
0.6681236,0.4475975
0.21567431,0.2861699
0.5567188,0.5853548
0.9479375,0.9780376
0.7729778,0.9227139
0.78667086,0.7798602
0.8727553,0.8486818
0.5154301,0.55650306
0.47839254,0.48602593
0.52047306,0.45577028
0.41210535,0.4683743
0.36365777,0.35640448
0.5936059,0.55847424
0.34593308,0.51869917
0.4144913,0.5274366
0.14007212,0.1548262
0.16613193,0.24911731
0.16270499,0.20841551
0.3718353,0.41052327
0.4309407,0.5470359
0.18903658,0.2200504
0.5922933,0.50854135
0.427395,0.46856263
0.21113473,0.34585723
0.54611665,0.59068674
0.37641913,0.30990532
0.42111632,0.4166913
0.23660892,0.48804507
0.3939937,0.45041263
0.26485592,0.30074918
0.115262516,0.16135743
0.17130616,0.25486353
0.2614686,0.21554849
0.2863462,0.49120313
0.17218535,0.04710164
0.2520064,0.41581345
0.5443437,0.6120113
0.56224525,0.55546415
0.31408092,0.2513448
0.3232141,0.23309699
0.28961235,0.48265022
0.18634188,0.29622623
0.19761734,0.28786054
0.18379624,0.2824392
0.24120569,0.22290291
0.21545748,0.12134738
0.22108877,0.35727093
0.2715417,0.29920343
0.3109185,0.65270424
0.28067607,0.37053233
0.35960603,0.272412
0.25300685,0.22449389
0.5251082,0.36536765
0.4025728,0.446477
0.18703693,0.34183854
0.38948548,0.3637728
0.29317904,0.13319607
0.25374675,0.39035907
0.33684045,0.13425249
0.31237602,0.23767003
0.2505141,0.14819229
0.22307068,0.26168883
0.43153384,0.34046167
0.3099214,0.27171773
0.277113,0.2661587
0.19539344,0.23568487
0.2833361,0.16104929
0.09089379,0.1632945
0.39924687,0.37526917
0.21911041,0.20212953
0.15238142,0.13569
0.14199917,0.20038447
0.3955683,0.44297376
0.16632786,0.27646664
0.36849314,0.21209282
0.17367513,0.28030184
0.12234686,0.19745022
0.2815156,0.3100518
0.35135818,0.2561712
0.34602374,0.3324353
0.29860842,0.3483422
0.2196874,0.3188097
0.44027156,0.48255363
0.5859298,0.5762532
0.40879244,0.291976
0.3569122,0.23084748
0.22446458,0.21420874
0.19384193,0.08542484
0.31841087,0.23853856
0.38742718,0.34826648
0.26063484,0.24102433
0.35768676,0.2483216
0.22552142,0.26742136
0.7827108,0.55024624
0.22253065,0.1370791
0.29667205,0.24702947
0.20107035,0.38020694
0.14068262,0.19675687
0.21804568,0.075211495
0.05432506,0.14610761
0.19539596,0.26996452
0.4352631,0.32337707
0.27767742,0.2199041
0.2336913,0.17329873
0.4787292,0.28275642
0.4761391,0.42552626
0.18377088,0.08414221
0.24117067,0.17883489
0.28541243,0.24095424
0.21515957,0.18826884
0.08864634,0.14508964
0.19122596,0.16513795
0.4735105,0.38236162
0.27187386,0.3157809
0.21708545,0.23590882
0.27275953,0.17878097
0.27935106,0.24318662
0.19635284,0.17042495
0.354136,0.23818609
0.46142602,0.3889896
0.38345855,0.2835299
0.35358936,0.19931246
0.3174988,0.29678327
0.1918842,0.21365221
0.39137644,0.39506173
0.42113373,0.29079732
0.46354523,0.43806577
0.0935054,0.16030714
0.14498918,0.25353783
0.17300685,0.22700898
0.14122456,0.3644032
0.24318536,0.30209854
0.32101813,0.45331502
0.55494905,0.6910697
0.6045384,0.77240896
0.31322563,0.35817635
0.25721008,0.3588087
0.21370187,0.20724793
0.16766039,0.1329424
0.2704891,0.3066703
0.23297182,0.32683656
0.63558507,0.69907606
0.6415733,0.6673341
0.21493554,0.11401052
0.184701,0.29982117
0.28952295,0.44676852
0.2160518,0.36148307
0.18347588,0.15334545
0.14723544,0.16786622
0.13709529,0.15963434
0.16826445,0.1742289
0.44948426,0.4229605
0.32683995,0.35378873
0.3350753,0.41065115
0.3641953,0.4314703
0.607401,0.5167981
0.4367857,0.4561667
0.23697622,0.31173834
0.27286416,0.31410423
0.29910976,0.3104203
0.21673325,0.12895499
0.21670358,0.16127527
0.2414359,0.20310095
0.22645424,0.30076393
0.37702042,0.5577412
0.2610254,0.23632306
0.5296461,0.6023521
0.3346115,0.47550234
0.38331366,0.58937705
0.27169302,0.4291471
0.2872408,0.37655875
0.20748432,0.27572343
1.6319847,0.61636466
0.31679052,0.26579094
0.22165795,0.3133527
0.4037627,0.29149875
0.585374,0.29378498
0.24132182,0.24223495
0.25620374,0.21495688
0.5720974,0.70219433
0.36792505,0.42477566
0.09848092,0.14470083
0.2530732,0.3758525
0.20536444,0.17176358
0.54444253,0.7145221
0.37099344,0.53131825
0.19533652,0.26464632
0.2778938,0.49028838
0.43975633,0.6337437
0.15108548,0.24109966
0.36000082,0.41102904
0.25127774,0.30675036
0.42847744,0.47351617
0.33636153,0.40011996
0.2182066,0.13364488
0.10793128,0.18722
0.80852664,1.0182191
0.6266986,0.89806277
0.5324082,0.4365242
0.24958986,0.29872477
0.46781301,0.52399987
0.17303504,0.23729461
0.18110916,0.2665761
0.434052,0.4828989
0.36530375,0.3392633
0.41207835,0.21648888
0.3300088,0.28167483
0.28127095,0.42794758
0.2037112,0.41587046
0.5951587,0.97077996
0.15052336,0.4784782
0.6192027,0.8385984
0.64161646,1.02995
0.39304656,0.843923
0.75796014,1.015689
0.29903927,0.65984595
0.4348683,0.722399
0.523576,0.8516346
0.94809735,1.1641208
0.3208009,0.1385658
0.1603324,0.05477796
0.16307983,0.3180571
0.1473179,0.07711226
0.13355502,0.11898373
0.16174084,0.098898925
0.07389746,0.058750298
0.23957977,0.36082554
0.08668834,0.05071503
0.16765635,0.27492586
0.13247564,0.14207713
0.15267153,0.15246777
0.08966017,0.22277792
0.08142135,0.07274877
0.13464154,0.15745644
0.15138339,0.2682165
0.07543298,0.09285722
0.27141204,0.3331504
0.16224717,0.20907854
0.18837674,0.26584175
0.09904509,0.19089459
0.11328731,0.16014588
0.25046244,0.11270324
0.19339858,0.15299803
0.19401121,0.14013796
0.26255208,0.10788491
0.21425194,0.20532638
0.07877164,0.1891197
0.0981719,0.16557328
0.16011652,0.14924558
0.07736212,0.12869845
0.24417683,0.25581086
0.18432498,0.40752476
0.13356091,0.09426638
0.1216662,0.16240367
0.19653398,0.25854003
0.10171783,0.11433284
0.18165419,0.052616715
0.121692,0.09102328
0.09016285,0.2307739
0.44781083,0.30554724
0.23114833,0.33985755
0.17642409,0.066660166
0.080862,0.09698543
0.23426421,0.1253871
0.2003095,0.089856066
0.33285794,0.15351966
0.2245174,0.06339228
0.3214871,0.44289047
0.25239223,0.22826594
0.39420378,0.320074
0.25610906,0.10824373
0.25283128,0.359995
0.105418146,0.2112622
0.024100937,0.19156294
0.14513616,0.13977571
0.120186254,0.10378802
0.2938614,0.39644098
0.120596394,0.05382242
0.082244955,0.16618639
0.2808253,0.35843748
0.08428193,0.1489713
0.11901781,0.115961924
0.19445142,0.14197451
0.369223,0.29398534
0.7642112,0.45659727
0.21463627,0.13124624
0.36673206,0.7284268
0.06151153,0.24184543
0.15713972,0.3915994
0.17506438,0.22271831
0.27346733,0.10482755
0.15598309,0.16070688
0.17550336,0.11458103
0.32485214,0.09948131
0.26026925,0.044738103
0.56034064,0.71349
0.10240759,0.21204416
0.124424726,0.17739323
0.21459904,0.13886075
0.1726889,0.12732083
0.5122959,0.25361264
0.20663351,0.40180737
0.13874683,0.17917305
0.12728368,0.09136759
0.17992601,0.32645357
0.12231027,0.093306616
0.48014712,0.14491254
0.26435715,0.20318666
0.3352684,0.45292214
0.07021242,0.24239363
0.075247526,0.3294441
0.18902075,0.13088064
0.100510046,0.07612744
0.27054504,0.5167993
0.20625219,0.36751032
0.112068824,0.2166256
0.15888357,0.08151547
0.17294349,0.16783339
0.16769989,0.07644299
0.1965951,0.21368065
0.3167746,0.16245769
0.48312107,0.21680364
0.32028958,0.107188895
0.21497178,0.15988031
0.04195061,0.27049917
0.4101054,0.2370361
0.3631659,0.25747377
0.8541926,0.710242
0.45183778,0.39870906
0.43266347,0.32197452
0.060553707,0.07215941
0.32406652,0.35394993
0.3652621,0.2141405
0.30737743,0.40661922
0.65267766,0.6193857
0.70641583,0.47865665
0.22196257,0.27063403
0.52790326,0.57582796
0.23837328,0.40270558
0.5397396,0.40045837
0.24383576,0.27710044
0.12951252,0.30870113
0.30862305,0.38927776
0.1631302,0.56589127
0.19867536,0.26641476
0.39146197,0.3606283
0.12714338,0.24575871
0.26251486,0.12226716
0.14514032,0.25365615
0.32028934,0.3799061
0.20455274,0.1854022
0.17700039,0.27004293
0.27940366,0.22972636
0.15990868,0.22931895
0.2832327,0.193404
0.20552856,0.1570507
0.43194818,0.4797325
0.20699315,0.17378274
0.1944283,0.27727622
0.3605616,0.44040996
0.21939738,0.17662917
0.08870573,0.14141455
0.23808014,0.4610013
0.2328635,0.19424291
0.10103302,0.13186692
0.06162066,0.13481309
0.334013,0.48719504
0.14369255,0.18104753
0.23851158,0.39123398
0.1807462,0.27133453
0.32747865,0.324631
0.3759115,0.28665978
0.08002987,0.27658743
0.09026116,0.26304248
0.096855044,0.27200666
0.19678967,0.36844423
0.1612397,0.2012152
0.41867584,0.12237628
0.23891109,0.5863255
0.1629189,0.15889287
0.29423708,0.46216998
0.1544363,0.32055697
0.26610518,0.28764036
0.38876024,0.6385475
0.16723357,0.47121474
0.23524113,0.18207748
0.17178896,0.12576547
0.21216257,0.18810827
0.1816837,0.19260852
0.30258325,0.17176786
0.35762948,0.5513326
0.092835575,0.11805024
0.09366765,0.2702763
0.26990348,0.17160618
0.14740747,0.21561679
0.34114027,0.15913123
0.25403303,0.31156194
0.10091216,0.4702345
0.29701412,0.5864862
0.20781428,0.3620001
0.3504176,0.54646766
0.2340104,0.23174861
0.20230061,0.43414524
0.35870135,0.51841575
0.18300886,0.37281716
0.13502644,0.18075117
0.26684964,0.5307081
0.27114993,0.09213917
0.10635403,0.13048235
0.09567308,0.6436306
0.1302278,0.17411152
0.49108982,0.26008335
0.105030715,0.26282957
0.19518729,0.30826172
0.0868181,0.28305638
0.09791861,0.24980019
0.30882114,0.47939873
0.2000374,0.44292063
0.29303476,0.51315635
0.24923316,0.6109363
0.1290469,0.3482082
0.4597065,0.13804995
0.16704899,0.325382
0.30852365,0.41465008
0.2274996,0.1729536
0.41306466,0.09432033
0.2878112,0.37978467
0.20165572,0.49985623
0.1326916,0.22718515
0.22409579,0.4992072
0.24432169,0.17737098
0.28094697,0.1459482
0.20382813,0.38390747
0.17419502,0.2244115
0.08260344,0.24637152
0.092627674,0.24239036
0.25307378,0.35051227
0.24205065,0.26523834
0.083725214,0.28155297
0.5619512,0.252645
0.1985474,0.46124804
0.2551148,0.22448552
0.19377992,0.40688896
0.067300804,0.2337391
0.32632345,0.30813545
0.0960161,0.28781262
0.13391982,0.19844969
0.18608272,0.21704178
0.13667192,0.36516184
0.34462264,0.36307466
0.51357013,0.5049731
0.20747645,0.21359946
0.21671125,0.46653336
0.104848415,0.1552745
0.20595454,0.2532558
0.17203918,0.122336306
0.2773273,0.33705276
0.22285032,0.24445696
0.065648556,0.2223691
0.29053038,0.5321946
0.17488736,0.3157863
0.19031855,0.22789717
0.4683274,0.3155341
0.15188932,0.1549778
0.15801296,0.1698286
0.3991806,0.637249
0.45175463,0.6000161
0.27625954,0.32582873
0.53739345,0.577924
0.2091437,0.17354685
0.37152702,0.2821686
0.24798787,0.1315885
0.09930428,0.140074
0.18869507,0.4294487
0.21289378,0.18039478
0.2543247,0.107140996
0.13669257,0.16696073
0.27579346,0.23135275
0.16308706,0.30275363
0.14142469,0.16196984
0.07470375,0.12986946
0.3624125,0.556768
0.41138163,0.30401742
0.35390705,0.57820463
0.105802804,0.09682491
0.37037233,0.3002565
0.1352537,0.104316786
0.10964661,0.2574279
0.1706772,0.33827704
0.16904074,0.09008768
0.17052642,0.16752782
0.2890863,0.16865969
0.08510956,0.31364113
0.19687034,0.30587786
0.44817865,0.2819788
0.19416349,0.20830283
0.18325232,0.1879158
0.1427435,0.48983407
0.18491761,0.16576442
0.41602072,0.53608847
0.12118852,0.09790853
0.30269742,0.25570086
0.093282774,0.2904181
0.3515065,0.08969402
0.14260814,0.28894496
0.21955554,0.080617175
0.25733522,0.24941309
0.19433734,0.29583088
0.56212384,0.24275163
0.21050698,0.17050064
0.17503037,0.22646569
0.15841119,0.18032962
0.3737617,0.15586399
0.24921185,0.13392448
0.11909687,0.44734755
0.11967571,0.20988843
0.32753962,0.22351605
0.16200101,0.35637417
0.22221674,0.13490932
0.16281368,0.1593115
0.31401506,0.44632518
0.242828,0.3365795
0.3034949,0.18670362
0.496549,0.24740094
0.24630016,0.28067493
0.23829548,0.10017424
0.80148315,0.42906758
0.27029258,0.3451473
0.41027257,0.293803
0.19537094,0.33904186
0.1272134,0.09008204
0.54581505,0.2844956
0.22953528,0.32946995
0.65365225,0.59925646
0.26551163,0.14187373
0.28084636,0.08006981
0.23253721,0.09349227
0.36927485,0.2526674
0.16708873,0.29599833
0.54964876,0.28332514
0.54175884,0.23815776
0.26923618,0.33889616
0.12317643,0.18432498
0.28713804,0.21726891
0.28551725,0.20395201
0.23927626,0.27494526
0.27311096,0.2047951
0.301893,0.28101447
0.18718824,0.1885603
0.13637581,0.1534998
0.1805137,0.102565125
0.40273628,0.3011591
0.2458282,0.24742696
0.21345715,0.15457578
0.17887956,0.25083503
0.073981486,0.09023616
0.28063592,0.31589794
0.42875937,0.31785733
0.43598536,0.359966
0.38018772,0.36762226
0.20879386,0.13367179
0.5159756,0.33483472
0.19413173,0.25148135
0.069723174,0.11061452
0.11746645,0.19642836
0.2002428,0.13633122
0.5269847,0.11964677
0.19346665,0.46044087
0.2326363,0.06812133
0.29034638,0.1882242
0.480115,0.31743255
0.101952165,0.10247152
0.1425129,0.17164023
0.4732329,0.12188581
0.30979547,0.20364733
0.1573959,0.32059088
0.4322074,0.54310673
0.4870792,0.6100085
0.25018921,0.30337143
0.25509852,0.3582187
0.17674127,0.24896917
0.47694874,0.51783544
0.23403451,0.35750645
0.4161088,0.41823226
0.20608467,0.32099158
0.4470774,0.51688
0.31212834,0.4332446
0.28058502,0.50143635
0.26852155,0.30497694
0.29167882,0.49470532
0.18349315,0.2889166
0.20485127,0.3248114
0.15799516,0.26662758
0.18872869,0.26993814
0.48981136,0.67072016
0.21018964,0.2572925
1.0074267,0.19381796
0.12899974,0.4475894
0.24058448,0.27615753
0.5762072,0.20346655
0.901109,0.19122407
0.5276326,0.35606217
0.12225641,0.31227463
1.011011,1.6192201
0.8555695,0.1831239
0.9643477,0.10563911
0.18950304,0.28352374
0.4583065,0.109284796
1.5893619,0.5037102
0.21277967,0.391086
0.34853888,0.33367163
0.36556536,0.44494015
0.5221164,0.7563933
0.8704358,0.32925338
3.0518794,3.3525283
0.58234733,0.29268134
1.6401784,1.133625
0.50399536,0.2851463
0.587124,0.30046672
0.39519498,0.06650617
0.45046493,0.11909263
0.35308525,0.3889927
0.36634275,0.30335313
0.4092956,0.4131423
0.23079625,0.2232059
0.22978124,0.19631952
0.14074165,0.12172983
0.2546351,0.2644201
0.11076476,0.10275825
0.50498915,0.53517735
0.28216112,0.30827367
0.23745619,0.2759171
0.12078553,0.1319281
0.1755976,0.26237524
0.27668786,0.24387589
0.3305124,0.4406688
0.3403573,0.34513006
0.3846761,0.16839899
0.8179041,0.6199898
0.40497887,0.32115254
0.28919998,0.28642076
0.28107312,0.225704
0.2983809,0.23935784
0.103297964,0.34008455
0.3882829,0.18246563
0.19302845,0.19060326
0.5073054,0.25362253
0.35810626,0.24128726
0.6985198,0.4345227
0.30493507,0.13716556
0.32479787,0.25052804
0.28126705,0.32615504
0.9687283,0.6786759
0.32279313,0.14804533
0.25369614,0.2110577
0.31614077,0.23485553
0.13958696,0.26864976
0.10464905,0.23106839
0.19652799,0.13370636
0.12843406,0.09402421
0.28250486,0.28153196
0.06255897,0.05044551
0.08046876,0.076903395
0.0691298,0.08146732
0.31794736,0.22245169
0.22085689,0.22735383
0.15789838,0.19847871
0.084944576,0.12485801
0.426659,0.09042072
0.07329617,0.17228132
0.17634717,0.21856977
0.3781487,0.17019543
0.12090583,0.08974912
0.19601405,0.11999729
0.19206077,0.12891135
0.168399,0.14660965
0.11616008,0.1315328
0.19426474,0.17317358
0.16745608,0.10487989
0.27391165,0.2097229
0.29705167,0.10592033
0.37764707,0.14392939
0.55886996,0.30497742
0.14901814,0.16373204
0.2414969,0.24981526
0.30510527,0.31739873
0.4247061,0.24723738
0.36044276,0.17740247
0.5429459,0.49867755
0.23877858,0.11090088
0.29862773,0.15226215
0.14288579,0.28052568
0.23904955,0.19460958
0.39271232,0.2905016
0.32719675,0.27922478
0.18427695,0.27739984
0.23388052,0.26026428
0.17528662,0.18090469
0.15107599,0.24216205
0.2832106,0.25520778
0.35459667,0.10585114
0.23046702,0.15418056
0.34303808,0.16002688
0.16942553,0.17351386
0.20637129,0.2651049
0.33270365,0.22464888
0.6723103,0.39518052
0.1240654,0.097199574
0.19635445,0.16412014
0.17539361,0.097954765
0.27957729,0.17992543
0.113661736,0.16738936
0.10642746,0.10814676
0.3176095,0.30176252
0.21969171,0.15833856
0.129596,0.09632182
0.5107863,0.19049717
0.3087199,0.15951931
0.46622205,0.2532944
0.2229934,0.20924172
0.465748,0.29268414
0.39483505,0.14071727
0.3076142,0.26202184
0.4944674,0.35807404
0.37394467,0.15031034
0.547162,0.4811317
0.4030225,0.2524094
0.5715861,0.46710014
0.09605792,0.3053686
0.2962005,0.50699973
0.24989147,0.41116345
0.20883778,0.5699043
0.105829515,0.37991333
0.21831924,0.5361923
0.13898902,0.37101334
0.23536712,0.5150564
0.05037743,0.21817553
0.10744053,0.44594514
0.4414381,0.5978534
0.08844767,0.37475887
0.046543572,0.23659852
0.104946986,0.4400935
0.22859222,0.42836368
0.04443473,0.35902056
0.18924996,0.30324405
0.20121443,0.47216153
0.11616674,0.36168534
0.20933926,0.35900605
0.051077686,0.41786444
0.2743001,0.60114676
0.32461023,0.057384845
0.14918478,0.29836035
0.26907206,0.5651834
0.26801845,0.15535395
0.25408155,0.16857174
0.054585405,0.3791097
0.12658222,0.33087522
0.14111611,0.28683883
0.10165821,0.35453632
0.19064227,0.52267176
0.07912789,0.34966093
0.17513648,0.40947127
0.11774701,0.36890864
0.47337538,0.75897014
0.07141051,0.5058899
0.22610931,0.5943433
0.20231056,0.2820347
0.13039525,0.20937812
0.12369094,0.35737416
0.15244731,0.16196172
0.13967896,0.43890512
0.11137153,0.41598198
0.34619477,0.69169843
0.08286951,0.4429367
0.22316942,0.62172675
0.043553248,0.32015294
0.18357912,0.27456552
0.053967632,0.41356948
0.12180463,0.3667635
0.31745517,0.6017436
0.13674438,0.45724884
0.40405077,0.8020824
0.19644406,0.28838977
0.07392492,0.38487998
0.17721999,0.19233488
0.21569428,0.19520038
0.070298426,0.34947017
0.25584373,0.5494417
0.28119367,0.5435978
0.1762281,0.32787555
0.18268263,0.17828329
0.12386337,0.2700026
0.4076134,0.6832562
0.08699491,0.47861406
0.10908255,0.29596666
0.07272322,0.33664924
0.17810982,0.44029346
0.19427952,0.4599769
0.09674434,0.32073855
0.07946595,0.33513457
0.08129467,0.34430605
0.2459737,0.22276239
0.090171345,0.48159024
0.08365497,0.33022577
0.20154335,0.45363224
0.17028199,0.5085261
0.12974216,0.31103522
0.14354727,0.3340842
0.49458814,0.7065872
0.20540828,0.17986575
0.16394514,0.35311615
0.15282758,0.408756
0.36218184,0.30000913
0.17083427,0.3347947
0.40972364,0.5167848
0.24800308,0.2813738
0.089899555,0.37950504
0.30900794,0.1403074
0.2541435,0.5134838
0.2122124,0.29600903
0.22302903,0.35261348
0.14616118,0.3061127
0.09600626,0.40175632
0.116885796,0.37596095
0.25978747,0.53073186
0.089169994,0.49156064
0.23178868,0.4949425
0.12723014,0.31052005
0.112957045,0.12033337
0.28684545,0.48696235
0.154917,0.35773635
0.08408588,0.37961683
0.16869076,0.51170945
0.22089888,0.23700182
0.23073977,0.6117503
0.1491363,0.40156788
0.23581466,0.4232818
0.24292175,0.24994023
0.1706479,0.4460289
0.15224619,0.44454163
0.16093293,0.47806832
0.053436305,0.39765412
0.14958641,0.21058302
0.101940595,0.45551217
0.20104347,0.5458913
0.28552443,0.4155369
0.21081905,0.42438194
0.1757351,0.225862
